4/1/2569 02:18:08 | user=- | ip=::1 | agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" | OPTIONS /api/refresh-token | 204 | 0.609 ms
4/1/2569 02:29:06 | user=- | ip=::1 | agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" | POST /api/login | 200 | 200.159 ms
4/1/2569 02:29:06 | user=- | ip=::1 | agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" | OPTIONS /api/stock-last-update | 204 | 0.437 ms
4/1/2569 02:29:06 | user=- | ip=::1 | agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" | OPTIONS /api/template-item | 204 | 2.679 ms
4/1/2569 02:29:06 | user=- | ip=::1 | agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" | OPTIONS /api/template-item | 204 | 0.527 ms
4/1/2569 02:29:06 | user=ST002 | ip=::1 | agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" | GET /api/stock-last-update | 304 | 115.944 ms
4/1/2569 02:29:06 | user=ST002 | ip=::1 | agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" | POST /api/template-item | 200 | 138.070 ms
4/1/2569 02:29:06 | user=ST002 | ip=::1 | agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" | POST /api/template-item | 200 | 195.129 ms
4/1/2569 02:29:35 | user=- | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | OPTIONS /api/lookup?branchCode=ST002&barcode=8859566512104 | 204 | 0.204 ms
4/1/2569 02:29:35 | user=ST002 | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | GET /api/lookup?branchCode=ST002&barcode=8859566512104 | 304 | 9.708 ms
4/1/2569 02:29:51 | user=- | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | OPTIONS /api/logout | 204 | 0.363 ms
4/1/2569 02:29:51 | user=ST002 | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | POST /api/logout | 200 | 24.125 ms
4/1/2569 02:29:51 | user=- | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | OPTIONS /api/template-item | 204 | 0.210 ms
4/1/2569 02:29:51 | user=ST002 | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | POST /api/template-item | 401 | 16.646 ms
4/1/2569 02:29:51 | user=ST002 | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | POST /api/template-item | 401 | 10.481 ms
4/1/2569 02:29:51 | user=- | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | OPTIONS /api/refresh-token | 204 | 0.199 ms
4/1/2569 02:29:51 | user=- | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | POST /api/refresh-token | 401 | 0.959 ms
4/1/2569 02:29:58 | user=- | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | OPTIONS /api/login | 204 | 0.292 ms
4/1/2569 02:29:58 | user=- | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | POST /api/login | 200 | 197.060 ms
4/1/2569 02:30:01 | user=- | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | OPTIONS /api/dashboard-product-list?start=2026-01-01&end=2026-01-03 | 204 | 0.282 ms
4/1/2569 02:30:01 | user=- | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | OPTIONS /api/dashboard-product-list?start=2025-12-01&end=2025-12-31 | 204 | 0.231 ms
4/1/2569 02:30:01 | user=- | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | OPTIONS /api/dashboard-data?start=2026-01-01&end=2026-01-03 | 204 | 0.221 ms
4/1/2569 02:30:01 | user=- | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | OPTIONS /api/dashboard-data?start=2025-12-01&end=2025-12-31 | 204 | 0.229 ms
4/1/2569 02:30:01 | user=- | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | OPTIONS /api/dashboard-data?start=2026-01-01&end=2026-01-03 | 204 | 0.202 ms
4/1/2569 02:30:01 | user=- | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | OPTIONS /api/dashboard-data?start=2025-12-01&end=2025-12-31 | 204 | 0.246 ms
4/1/2569 02:30:01 | user=admin | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | GET /api/dashboard-product-list?start=2026-01-01&end=2026-01-03 | 304 | 16.645 ms
4/1/2569 02:30:01 | user=admin | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | GET /api/dashboard-product-list?start=2025-12-01&end=2025-12-31 | 304 | 62.575 ms
4/1/2569 02:30:01 | user=admin | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | GET /api/dashboard-data?start=2026-01-01&end=2026-01-03 | 304 | 56.232 ms
4/1/2569 02:30:01 | user=admin | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | GET /api/dashboard-data?start=2025-12-01&end=2025-12-31 | 304 | 64.473 ms
4/1/2569 02:30:01 | user=admin | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | GET /api/dashboard-product-list?start=2026-01-01&end=2026-01-03 | 304 | 21.672 ms
4/1/2569 02:30:01 | user=admin | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | GET /api/dashboard-product-list?start=2025-12-01&end=2025-12-31 | 304 | 42.742 ms
4/1/2569 02:30:01 | user=admin | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | GET /api/dashboard-data?start=2026-01-01&end=2026-01-03 | 304 | 37.651 ms
4/1/2569 02:30:01 | user=admin | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | GET /api/dashboard-data?start=2025-12-01&end=2025-12-31 | 304 | 42.372 ms
4/1/2569 02:40:22 | user=- | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | OPTIONS /api/sales-list-branch | 204 | 0.776 ms
4/1/2569 02:40:22 | user=- | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | OPTIONS /api/sales-list-branch | 204 | 0.334 ms
4/1/2569 02:40:22 | user=admin | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | GET /api/sales-list-branch | 200 | 127.133 ms
4/1/2569 02:40:22 | user=admin | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | GET /api/sales-list-branch | 200 | 8.931 ms
4/1/2569 02:40:29 | user=- | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | OPTIONS /api/sales-search-branch | 204 | 0.296 ms
4/1/2569 02:40:29 | user=admin | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | POST /api/sales-search-branch | 200 | 448.505 ms
4/1/2569 02:40:38 | user=- | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | OPTIONS /api/sales-search-branch-day | 204 | 0.197 ms
4/1/2569 02:40:38 | user=admin | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | POST /api/sales-search-branch-day | 200 | 198.357 ms
4/1/2569 02:40:46 | user=- | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | OPTIONS /api/shelf-template | 204 | 0.247 ms
4/1/2569 02:40:46 | user=- | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | OPTIONS /api/shelf-template | 204 | 0.342 ms
4/1/2569 02:40:46 | user=admin | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | GET /api/shelf-template | 304 | 28.384 ms
4/1/2569 02:40:46 | user=admin | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | GET /api/shelf-template | 304 | 16.856 ms
4/1/2569 02:40:50 | user=- | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | OPTIONS /api/shelf-sku | 204 | 0.379 ms
4/1/2569 02:40:50 | user=admin | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | POST /api/shelf-sku | 200 | 330.218 ms
4/1/2569 02:41:00 | user=- | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | OPTIONS /api/stock-data | 204 | 0.220 ms
4/1/2569 02:41:00 | user=- | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | OPTIONS /api/stock-data | 204 | 0.521 ms
4/1/2569 02:41:03 | user=admin | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | GET /api/stock-data | 304 | 3091.370 ms
4/1/2569 02:41:04 | user=admin | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | GET /api/stock-data | 304 | 1552.316 ms
4/1/2569 02:41:21 | user=- | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | OPTIONS /api/logout | 204 | 0.216 ms
4/1/2569 02:41:21 | user=admin | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | POST /api/logout | 200 | 22.556 ms
4/1/2569 02:41:34 | user=- | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | OPTIONS /api/login | 204 | 0.245 ms
4/1/2569 02:41:34 | user=- | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | POST /api/login | 200 | 196.212 ms
4/1/2569 02:41:36 | user=- | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | OPTIONS /api/dashboard-product-list?start=2026-01-01&end=2026-01-03 | 204 | 0.290 ms
4/1/2569 02:41:36 | user=- | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | OPTIONS /api/dashboard-product-list?start=2025-12-01&end=2025-12-31 | 204 | 0.236 ms
4/1/2569 02:41:36 | user=- | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | OPTIONS /api/dashboard-data?start=2025-12-01&end=2025-12-31 | 204 | 0.699 ms
4/1/2569 02:41:36 | user=- | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | OPTIONS /api/dashboard-data?start=2026-01-01&end=2026-01-03 | 204 | 0.832 ms
4/1/2569 02:41:36 | user=- | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | OPTIONS /api/dashboard-product-list?start=2025-12-01&end=2025-12-31 | 204 | 0.308 ms
4/1/2569 02:41:36 | user=- | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | OPTIONS /api/dashboard-data?start=2026-01-01&end=2026-01-03 | 204 | 0.230 ms
4/1/2569 02:41:36 | user=- | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | OPTIONS /api/dashboard-data?start=2025-12-01&end=2025-12-31 | 204 | 0.330 ms
4/1/2569 02:41:36 | user=admin | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | GET /api/dashboard-product-list?start=2026-01-01&end=2026-01-03 | 304 | 17.518 ms
4/1/2569 02:41:36 | user=admin | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | GET /api/dashboard-product-list?start=2025-12-01&end=2025-12-31 | 304 | 51.258 ms
4/1/2569 02:41:36 | user=admin | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | GET /api/dashboard-data?start=2025-12-01&end=2025-12-31 | 304 | 64.692 ms
4/1/2569 02:41:36 | user=admin | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | GET /api/dashboard-data?start=2026-01-01&end=2026-01-03 | 304 | 63.031 ms
4/1/2569 02:41:36 | user=admin | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | GET /api/dashboard-product-list?start=2026-01-01&end=2026-01-03 | 304 | 26.632 ms
4/1/2569 02:41:36 | user=admin | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | GET /api/dashboard-product-list?start=2025-12-01&end=2025-12-31 | 304 | 48.059 ms
4/1/2569 02:41:36 | user=admin | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | GET /api/dashboard-data?start=2025-12-01&end=2025-12-31 | 304 | 55.963 ms
4/1/2569 02:41:36 | user=admin | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | GET /api/dashboard-data?start=2026-01-01&end=2026-01-03 | 304 | 53.970 ms
4/1/2569 02:59:35 | user=- | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | OPTIONS /api/refresh-token | 204 | 2.985 ms
4/1/2569 02:59:35 | user=- | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | POST /api/refresh-token | 200 | 151.021 ms
4/1/2569 02:59:35 | user=- | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | OPTIONS /api/dashboard-product-list?start=2026-01-01&end=2026-01-03 | 204 | 0.579 ms
4/1/2569 02:59:35 | user=- | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | OPTIONS /api/dashboard-data?start=2025-12-01&end=2025-12-31 | 204 | 0.297 ms
4/1/2569 02:59:35 | user=- | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | OPTIONS /api/dashboard-product-list?start=2025-12-01&end=2025-12-31 | 204 | 0.355 ms
4/1/2569 02:59:35 | user=- | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | OPTIONS /api/dashboard-data?start=2026-01-01&end=2026-01-03 | 204 | 0.369 ms
4/1/2569 02:59:35 | user=- | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | OPTIONS /api/dashboard-product-list?start=2026-01-01&end=2026-01-03 | 204 | 0.253 ms
4/1/2569 02:59:35 | user=- | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | OPTIONS /api/dashboard-product-list?start=2025-12-01&end=2025-12-31 | 204 | 0.489 ms
4/1/2569 02:59:35 | user=- | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | OPTIONS /api/dashboard-data?start=2026-01-01&end=2026-01-03 | 204 | 0.296 ms
4/1/2569 02:59:35 | user=admin | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | GET /api/dashboard-product-list?start=2026-01-01&end=2026-01-03 | 304 | 99.527 ms
4/1/2569 02:59:35 | user=admin | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | GET /api/dashboard-product-list?start=2026-01-01&end=2026-01-03 | 304 | 9.255 ms
